Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,RAR,Test,Dol,Dol (no $)
1951,Reds,1881,5772,88,558,528,43,7.20%,10.00%,0.103,0.264,0.248,0.304,0.351,0.305,74,-3.8,-194.9,25.6,2.4,24,89.76117, ,
1917,Braves,1647,5855,22,536,452,155,7.30%,10.00%,0.074,0.274,0.246,0.309,0.32,0.309,97,0.5,-15.2,4.2,20,165.9,147.5344, ,
1917,Pirates,1687,5786,9,464,396,150,6.90%,10.00%,0.06,0.267,0.238,0.298,0.298,0.293,82,0.3,-106.3,-15.4,6.9,53.1,132.14766, ,
1957,Athletics,2007,5655,166,563,536,35,6.40%,13.50%,0.15,0.256,0.244,0.295,0.394,0.305,82,-0.2,-120.7,21.5,7.6,71.1,-15.89202, ,
1938,Indians,1681,6001,113,847,799,83,9.20%,10.10%,0.153,0.3,0.281,0.35,0.434,0.36,95,-1.5,-47.5,25.1,20,209.6,165.17478, ,
1956,Tigers,1880,6143,150,789,745,43,10.50%,10.10%,0.141,0.289,0.279,0.356,0.42,0.348,105,2.2,38.1,21.7,27.2,265.1,143.2014, ,
1950,Braves,1808,6079,148,785,726,71,10.10%,10.10%,0.142,0.275,0.263,0.342,0.405,0.345,100,12.4,12.8,22.6,22.3,232.2,177.80135, ,
1951,Giants,1803,6140,179,780,733,55,10.90%,10.10%,0.158,0.267,0.261,0.347,0.419,0.355,105,1.9,40,63.3,31.3,308.9,136.77473, ,
1953,Cardinals,1972,6051,140,762,722,18,9.50%,10.10%,0.151,0.288,0.273,0.348,0.424,0.352,99,-0.2,-7.1,42.6,22.9,229.1,105.90808, ,
1944,Pirates,1947,6099,70,743,706,87,9.40%,10.10%,0.114,0.289,0.266,0.338,0.379,0.34,98,13.9,1,1,20.1,184.4,202.70793, ,
1953,Phillies,1790,5916,115,716,657,42,9.00%,10.10%,0.132,0.281,0.265,0.335,0.396,0.335,91,4.8,-63.1,79.7,20.6,205.8,131.96132, ,
1922,Athletics,1718,5857,111,704,631,60,7.50%,10.10%,0.132,0.287,0.27,0.331,0.402,0.339,87,-5.8,-105.5,11.1,9.3,96.6,104.52134, ,
1947,Indians,1913,5972,112,687,649,29,8.40%,10.10%,0.125,0.276,0.26,0.324,0.385,0.332,100,-5.3,-7.4,96.3,28.5,277.3,131.26795, ,
1941,Braves,1954,5968,48,592,552,61,7.90%,10.10%,0.083,0.275,0.251,0.312,0.334,0.306,84,9.6,-103.6,46.2,12.2,120,167.50778, ,
1942,Cubs,1794,5988,75,591,533,63,8.50%,10.10%,0.099,0.275,0.254,0.321,0.353,0.323,98,9.8,-0.5,9.4,19.4,175.7,117.61451, ,
1933,Athletics,1673,6050,139,875,831,34,10.30%,10.20%,0.156,0.302,0.285,0.362,0.441,0.371,109,-8.3,66.6,-27.7,26.1,253.6,175.16147, ,
1950,Indians,1831,6080,164,806,758,40,11.40%,10.20%,0.153,0.28,0.269,0.358,0.422,0.36,104,-8.8,24.7,64.2,29.8,308.3,155.05474, ,
1953,Giants,1926,5945,176,768,739,31,8.40%,10.20%,0.152,0.279,0.271,0.336,0.423,0.345,96,2.6,-32.9,31.6,18.9,188.9,114.48141, ,
1942,Browns,1718,5944,98,730,669,37,10.20%,10.20%,0.126,0.278,0.259,0.338,0.385,0.345,100,-9.8,-11.5,9.7,21.6,195.8,174.26795, ,
1946,Tigers,1720,6058,108,704,644,65,10.30%,10.20%,0.116,0.275,0.258,0.338,0.374,0.339,97,-5.6,-29.8,42.8,23.3,212.2,176.57458, ,
1950,Cardinals,1838,5915,102,693,646,23,10.20%,10.20%,0.127,0.278,0.26,0.339,0.386,0.337,89,2.9,-78.3,46,15.4,159.2,134.69462, ,
1944,Browns,1732,5926,72,684,629,44,8.90%,10.20%,0.1,0.273,0.252,0.323,0.352,0.322,90,-7.2,-73.8,23.7,15.1,139.9,213.18784, ,
1941,Indians,1726,5897,103,675,616,63,8.60%,10.20%,0.138,0.272,0.256,0.323,0.393,0.334,90,-9.2,-87.2,36.7,16.5,161.6,98.68131, ,
1953,Red Sox,1939,5874,101,656,614,33,8.40%,10.20%,0.121,0.282,0.264,0.332,0.385,0.329,84,-7.2,-123.1,37.7,11.3,112.8,100.26795, ,
1955,Cardinals,2021,5855,143,654,608,64,7.80%,10.20%,0.138,0.27,0.261,0.321,0.4,0.322,89,-6.7,-86,51.2,13.1,129,59.668, ,
1937,Reds,1879,5746,73,610,566,53,7.60%,10.20%,0.106,0.275,0.254,0.315,0.36,0.314,85,7.5,-97.1,24.1,11.3,118.7,118.6012, ,
1916,White Sox,1730,5805,17,601,484,195,7.70%,10.20%,0.088,0.282,0.251,0.319,0.339,0.321,98,1.6,-13.3,42.2,23,196.7,163.64113, ,
1948,Phillies,1773,5826,91,591,548,68,7.50%,10.20%,0.109,0.277,0.259,0.318,0.368,0.322,86,11.3,-88.3,-7.5,9.5,94.6,79.01456, ,
1947,Phillies,1844,5824,60,589,544,60,8.00%,10.20%,0.094,0.281,0.258,0.321,0.352,0.318,80,10.9,-140.5,21.3,7.7,73.4,118.18784, ,
1948,Reds,1873,5690,104,588,548,42,8.40%,10.20%,0.119,0.262,0.247,0.313,0.366,0.319,82,6.2,-121.1,-3.3,6.2,61.5,81.16122, ,
1917,Indians,1786,5833,13,584,475,210,9.40%,10.20%,0.077,0.276,0.245,0.324,0.322,0.319,93,10.9,-32.6,48.6,21.8,188.1,190.38774, ,
1916,Phillies,1642,5596,42,581,486,149,7.10%,10.20%,0.091,0.275,0.25,0.31,0.341,0.317,97,-12.1,-30.4,25.2,19.4,163.5,138.49447, ,
1915,Blues,1661,5624,40,574,506,184,7.50%,10.20%,0.089,0.274,0.249,0.309,0.338,0.315,88,33.4,-39.2,2.5,12.7,109.5,139.21446, ,
1946,White Sox,1760,5909,37,562,515,78,8.40%,10.20%,0.076,0.284,0.257,0.323,0.333,0.314,85,-11.5,-111.9,52.9,14.7,135.4,140.08111, ,
1946,Phillies,1817,5771,80,560,516,41,7.20%,10.20%,0.101,0.279,0.258,0.315,0.359,0.32,90,5.3,-55.7,-4.3,11.7,103.1,71.17453, ,
1952,Tigers,1891,5911,103,557,529,27,9.40%,10.20%,0.109,0.258,0.243,0.318,0.352,0.316,85,-3.8,-108.4,-0.1,8.3,74.6,86.18784, ,
1916,Senators,1725,5863,12,534,468,185,9.10%,10.20%,0.064,0.272,0.242,0.32,0.306,0.309,90,2.4,-56.1,17,15.7,130.3,181.56102, ,
1946,Reds,1816,5928,65,522,481,82,8.30%,10.20%,0.088,0.259,0.239,0.307,0.327,0.304,82,13.5,-107.5,86.9,15.6,146.9,115.52109, ,
1918,Athletics,1326,4771,22,412,356,83,7.20%,10.20%,0.065,0.27,0.243,0.303,0.308,0.302,82,-7.8,-96.6,18.7,8,68.5,54.41436, ,
1951,Dodgers,1890,6176,184,853,791,89,9.70%,10.30%,0.159,0.285,0.275,0.352,0.435,0.362,109,-6.1,61.9,71.1,34.4,339.9,168.60145, ,
1936,Browns,1827,6107,79,804,761,62,10.20%,10.30%,0.124,0.304,0.279,0.356,0.403,0.353,84,0.3,-153.1,-28.4,4.3,51.6,201.94801, ,
1954,Dodgers,1854,6047,186,778,740,46,10.50%,10.30%,0.175,0.274,0.27,0.349,0.445,0.361,104,-1.9,26,58.9,28.3,273.1,67.86815, ,
1951,Braves,1836,5966,130,722,682,80,9.50%,10.30%,0.132,0.276,0.262,0.336,0.393,0.339,100,6.6,4.7,-5.3,20.3,199.2,145.68131, ,
1935,Athletics,1641,5849,112,710,674,43,8.20%,10.30%,0.127,0.298,0.279,0.341,0.406,0.344,92,-8.8,-70.5,18.8,14.2,148.2,100.22802, ,
1951,Pirates,2047,5970,137,689,648,29,9.30%,10.30%,0.139,0.271,0.258,0.331,0.398,0.338,90,-0.8,-77.3,4.7,13,127.3,99.81466, ,
1953,Senators,1689,5847,69,687,642,65,10.20%,10.30%,0.106,0.287,0.263,0.343,0.369,0.33,96,3.3,-25.9,36.8,20.8,208.3,172.44123, ,
1916,Indians,1762,5850,16,630,533,159,8.90%,10.30%,0.082,0.281,0.25,0.324,0.331,0.321,92,-3.9,-55.7,21.9,16.1,135.3,213.22777, ,
1954,Tigers,1898,5845,89,579,551,48,8.40%,10.30%,0.108,0.276,0.258,0.322,0.367,0.318,88,-3.7,-85,48.5,14.7,141.9,69.58789, ,
1946,Athletics,1789,5796,40,529,483,39,8.30%,10.30%,0.085,0.28,0.253,0.318,0.338,0.313,82,-6.4,-124.9,-10.2,6.5,55.4,94.21446, ,
1941,Phillies,1888,5796,64,501,467,65,7.80%,10.30%,0.087,0.265,0.244,0.307,0.331,0.303,80,10.5,-121.7,-19.4,3.3,31.2,84.22777, ,
1950,Dodgers,1814,6086,194,847,774,77,10.00%,10.40%,0.172,0.279,0.272,0.349,0.444,0.362,105,13.7,53.6,65.8,30.6,316.5,139.44148, ,
1931,Cubs,1748,6178,84,828,765,49,9.30%,10.40%,0.133,0.316,0.289,0.36,0.422,0.362,110,8.4,90.6,27.2,30.5,314,177.05474, ,
1956,Cardinals,1993,5978,124,677,626,41,8.40%,10.40%,0.131,0.283,0.268,0.333,0.399,0.327,96,-2.4,-34.6,62.5,20,195.8,85.24133, ,
1975,Cardinals,2107,6206,81,662,619,116,7.20%,10.40%,0.103,0.294,0.273,0.327,0.376,0.32,95,5.3,-30.1,1.2,18.3,168.7,129.42792, ,
1954,Phillies,1709,5927,102,659,618,30,10.20%,10.40%,0.128,0.284,0.267,0.341,0.396,0.339,94,-0.3,-48.5,68.3,21.1,204.3,74.96132, ,
1945,Indians,1669,5536,65,557,520,19,9.10%,10.40%,0.104,0.278,0.255,0.326,0.359,0.329,103,-11.1,6.7,10,20.2,186.7,68.17453, ,
1917,Cubs,1749,5771,17,552,458,127,7.20%,10.40%,0.074,0.268,0.24,0.299,0.313,0.3,85,-3.1,-88.4,-25.6,8,60.4,181.54771, ,
1981,Indians,1186,3952,39,431,397,119,8.70%,9.60%,0.088,0.282,0.263,0.327,0.351,0.311,94,10.2,-16.7,-72.6,3.8,28.3,-37.23883, ,
1943,Braves,1646,5763,39,464,432,56,8.00%,10.40%,0.075,0.258,0.233,0.298,0.309,0.295,74,9,-152.5,47.1,6.1,57.4,103.84103, ,
1977,White Sox,1705,6321,192,844,809,42,8.80%,10.50%,0.166,0.284,0.278,0.344,0.444,0.346,112,-4.2,87.1,-116.7,19,182.1,136.44148, ,
1920,Yankees,1604,5899,115,837,745,64,9.00%,10.50%,0.146,0.3,0.28,0.35,0.426,0.364,104,-2.3,27.1,51.6,28.7,274.5,175.76142, ,
1954,Yankees,2044,6026,133,805,747,34,10.80%,10.50%,0.14,0.281,0.268,0.348,0.408,0.348,112,-4.9,75.4,58.4,33,317.7,190.08136, ,
1940,Browns,1858,6049,118,757,715,51,9.20%,10.50%,0.138,0.28,0.263,0.333,0.401,0.337,86,-9.8,-124.7,14.9,10.6,107,160.09467, ,
1978,Royals,1836,6127,98,743,695,216,8.10%,10.50%,0.131,0.286,0.268,0.329,0.399,0.327,103,11.8,31.4,34.2,27.8,259.9,151.24133, ,
1950,Giants,1835,5972,133,734,683,42,10.50%,10.50%,0.134,0.272,0.258,0.342,0.392,0.341,93,6.6,-48.4,102.7,24.1,247.6,160.25464, ,
1976,Royals,1913,6199,65,713,656,218,7.80%,10.50%,0.103,0.291,0.269,0.327,0.371,0.322,103,3,25.6,17.8,25.3,231,193.29457, ,
1938,Dodgers,1815,5853,61,704,647,66,10.40%,10.50%,0.11,0.282,0.257,0.338,0.367,0.331,91,11,-49.6,20.2,14.1,148.5,194.58789, ,
1944,Yankees,1620,5969,96,673,630,90,8.70%,10.50%,0.122,0.285,0.265,0.333,0.387,0.341,104,2.7,29.6,54.7,29.6,275.7,112.12129, ,
1959,White Sox,2018,6050,97,669,620,113,9.60%,10.50%,0.114,0.266,0.25,0.327,0.364,0.311,92,3.5,-52.2,120.1,24.6,239.9,167.30788, ,
1954,Braves,1787,5921,139,668,636,54,8.00%,10.50%,0.136,0.276,0.265,0.327,0.401,0.334,95,2.7,-32,51.8,21.2,204,71.09467, ,
1978,White Sox,1790,5956,106,634,595,83,6.90%,10.50%,0.115,0.279,0.264,0.317,0.379,0.315,95,-8.7,-42.1,-29.5,12.8,117.2,93.70793, ,
1976,Indians,1754,6030,85,615,567,75,7.90%,10.50%,0.096,0.281,0.263,0.321,0.359,0.314,100,-12.2,-9.7,-49.9,14,122.8,126.17453, ,
1979,Royals,1762,6350,116,851,791,207,8.30%,10.60%,0.14,0.3,0.282,0.343,0.422,0.339,104,12.6,45.7,13.4,27.4,268.2,200.05474, ,
1984,Yankees,1749,6356,130,758,725,62,8.40%,10.60%,0.129,0.291,0.276,0.339,0.404,0.333,108,-3.1,58.7,-56.5,21.6,201.4,153.37468, ,
1939,Dodgers,1815,6047,78,708,653,59,9.30%,10.60%,0.115,0.29,0.265,0.338,0.38,0.335,90,9.3,-66,61.2,17.9,184.6,165.1346, ,
1954,Red Sox,1986,6206,123,700,657,51,10.50%,10.60%,0.129,0.281,0.266,0.345,0.395,0.341,96,3.1,-26.7,42.4,21.3,205.1,118.53465, ,
1951,Indians,1777,5935,140,693,658,52,10.20%,10.60%,0.133,0.27,0.257,0.337,0.39,0.339,101,0.7,10.4,37.6,24.1,237.8,124.4013, ,
1934,Browns,1735,5919,62,673,630,43,8.70%,10.60%,0.105,0.294,0.267,0.334,0.373,0.33,76,-7.7,-202.9,19.1,2.8,30.2,148.14791, ,
1915,Braves,1718,5869,17,582,496,121,9.40%,10.60%,0.078,0.271,0.24,0.321,0.319,0.316,97,-14.7,-31.3,27,21.8,192.2,196.10773, ,
1981,Rangers,1112,3972,49,452,418,46,7.40%,10.00%,0.099,0.289,0.27,0.326,0.369,0.316,102,-5.9,3.1,22.7,15.6,143.9,-62.55877, ,
1956,White Sox,1942,6122,128,776,726,70,10.10%,10.70%,0.13,0.282,0.267,0.349,0.397,0.336,99,4.6,-6.5,50,25.4,248.2,189.38799, ,
1983,Brewers,1655,6240,132,764,732,101,7.60%,10.70%,0.141,0.292,0.277,0.333,0.418,0.333,109,-0.1,65.3,-35.8,24.5,232.3,123.34806, ,
1937,Phillies,1807,5993,103,724,668,66,8.00%,10.70%,0.118,0.295,0.273,0.334,0.391,0.336,83,9.8,-116.5,-4.8,7.4,78.6,152.82797, ,
1962,White Sox,2071,6297,92,707,662,76,9.80%,10.70%,0.116,0.276,0.257,0.334,0.372,0.319,93,-0.3,-52.5,63.9,19.7,192.1,184.72124, ,
1949,Braves,1874,6138,103,706,654,28,11.10%,10.70%,0.116,0.278,0.258,0.345,0.374,0.341,98,4.3,-8.2,9.8,20.1,200.5,178.57458, ,
1921,Phillies,1676,5760,88,617,573,66,5.10%,10.70%,0.113,0.308,0.284,0.324,0.397,0.332,77,-6.1,-174.2,-9.9,1.5,16.5,30.38799, ,
1957,Tigers,1906,6003,116,613,574,36,8.40%,10.70%,0.121,0.273,0.257,0.323,0.378,0.313,89,-7.1,-89,62.9,16.2,154.6,75.28126, ,
1946,Senators,1767,5959,60,608,554,51,8.60%,10.70%,0.106,0.286,0.26,0.328,0.366,0.33,96,-11.6,-38.1,-15.1,16.2,142.8,101.16122, ,
1916,Browns,1814,5981,14,590,499,234,10.40%,10.70%,0.063,0.277,0.245,0.331,0.307,0.316,96,-12.3,-36.4,39.9,20.7,176.3,234.98769, ,
1978,Blue Jays,1721,6015,98,590,551,28,7.40%,10.70%,0.108,0.267,0.25,0.308,0.359,0.304,84,-13.6,-121.8,-36.2,3.7,32.7,101.17453, ,
1915,Phillies,1613,5591,58,589,486,121,8.20%,10.70%,0.092,0.272,0.247,0.316,0.34,0.321,96,-19.8,-45.1,49.9,21.4,192,149.0678, ,
1916,Yankees,1691,5908,35,575,492,179,8.70%,10.70%,0.08,0.274,0.246,0.318,0.326,0.316,94,9.8,-29.9,43.3,21.6,184.1,171.09442, ,
1916,Pirates,1737,5766,20,484,406,173,6.40%,10.70%,0.075,0.27,0.241,0.298,0.316,0.3,88,6.7,-60.1,-21.3,11.8,92.4,105.82772, ,
1953,Yankees,1914,5953,139,798,762,34,11.00%,10.80%,0.144,0.291,0.274,0.359,0.418,0.356,115,-6,104.1,36.9,34.2,342,157.34806, ,
1946,Red Sox,1753,6126,109,792,737,45,11.20%,10.80%,0.131,0.293,0.271,0.356,0.402,0.36,109,-7.9,54.3,57.7,34.3,313.5,192.52134, ,
1948,Giants,1957,5957,164,780,733,51,10.00%,10.80%,0.152,0.266,0.256,0.334,0.408,0.347,98,7.7,-3.9,26.4,21.8,217.1,165.08136, ,
1960,White Sox,1945,5964,112,741,684,122,9.50%,10.80%,0.126,0.287,0.27,0.345,0.396,0.333,103,7.6,30.1,76.1,29,276.9,156.96132, ,
1953,Braves,1842,5893,156,737,690,46,7.40%,10.80%,0.149,0.278,0.266,0.325,0.415,0.336,97,2.7,-22.3,42.8,20.9,209,104.06805, ,
1954,Redlegs,1946,5968,147,728,685,47,9.30%,10.80%,0.144,0.272,0.262,0.333,0.406,0.339,89,1.8,-84.1,25.9,13.3,127.4,118.22802, ,
1975,Royals,1776,6231,118,710,667,155,9.50%,10.80%,0.133,0.276,0.261,0.333,0.394,0.332,103,3,21.9,-8.6,22.6,211.6,131.10798, ,
1934,Cubs,1689,5841,101,705,664,59,6.40%,10.80%,0.122,0.302,0.279,0.33,0.402,0.336,95,9.4,-25.2,57,21.8,226.5,105.52134, ,
1978,Twins,1812,6326,82,666,621,99,9.50%,10.80%,0.108,0.289,0.267,0.339,0.375,0.325,100,-0.9,-2.3,-15.5,19.8,182.8,136.00125, ,
1958,Cardinals,2063,5891,111,619,570,44,9.00%,10.80%,0.119,0.277,0.261,0.329,0.38,0.315,84,-4.6,-120.3,33.5,10.2,97.4,76.1346, ,
1915,Terrapins,1666,5744,36,550,465,128,8.20%,10.80%,0.081,0.272,0.244,0.313,0.325,0.313,86,22.1,-71.1,-41.9,4.9,36.4,148.66775, ,
1919,Athletics,1504,5234,35,459,396,103,6.70%,10.80%,0.089,0.271,0.244,0.3,0.334,0.305,76,-3.4,-153.8,-56,-2.6,-31.3,34.50778, ,
1977,Yankees,1724,6261,184,831,784,93,8.50%,10.90%,0.163,0.291,0.281,0.344,0.444,0.347,117,0.2,123.5,27.7,37,360.9,123.44148, ,
1983,Yankees,1697,6279,153,770,728,84,8.50%,10.90%,0.143,0.286,0.273,0.337,0.416,0.337,111,-0.8,80,-57.6,24.1,226.5,134.49472, ,
1955,Redlegs,1992,5958,181,761,722,51,9.30%,10.90%,0.155,0.278,0.271,0.342,0.426,0.343,99,0.6,-4.4,68.4,23.5,230.7,99.76142, ,
1952,Yankees,1778,5987,129,727,669,52,9.40%,10.90%,0.136,0.284,0.266,0.341,0.402,0.347,111,-0.1,74.3,94.1,37.7,354,127.52134, ,
1969,Braves,2019,6098,141,691,640,59,8.00%,10.90%,0.121,0.271,0.258,0.321,0.38,0.317,92,-4.2,-56.9,88.1,25.2,235,148.1346, ,
1953,Browns,1946,5867,111,552,521,17,8.60%,10.90%,0.114,0.266,0.249,0.317,0.362,0.313,77,-5.9,-177.3,27.2,4.8,48,55.45454, ,
1954,Orioles,1857,5837,52,483,451,30,8.00%,10.90%,0.086,0.275,0.251,0.313,0.338,0.303,84,-2.1,-114.2,-0.8,6.7,63.1,48.21446, ,
1981,Phillies,1480,4143,69,491,453,103,9.00%,10.40%,0.115,0.291,0.273,0.341,0.389,0.332,107,3.7,34.8,-10.2,17.7,156.4,-75.02537, ,
1977,Royals,1836,6268,146,822,773,170,8.30%,11.00%,0.159,0.291,0.277,0.34,0.436,0.341,109,2.4,69.1,10.7,29.7,289.8,135.02812, ,
1979,Twins,1891,6297,112,764,714,66,8.40%,11.00%,0.123,0.299,0.278,0.341,0.402,0.332,98,-2.9,-19.3,-27.9,16.4,160.1,164.52134, ,
1955,Yankees,1948,5932,175,760,716,55,10.20%,11.00%,0.158,0.267,0.26,0.341,0.418,0.34,108,5.9,60.7,103.2,37.8,371.5,119.34806, ,
1954,Indians,1918,6040,156,746,713,30,10.50%,11.00%,0.141,0.272,0.262,0.341,0.403,0.342,106,-2.5,41.9,71.4,30.8,297.6,143.94801, ,
1957,Cardinals,1983,6082,132,737,685,58,8.10%,11.00%,0.131,0.289,0.274,0.333,0.405,0.325,94,-1.4,-44.6,61,20.4,193.8,129.80135, ,
1979,White Sox,1812,6056,127,730,680,97,7.50%,11.00%,0.135,0.292,0.275,0.333,0.41,0.331,100,-3.8,-2.9,-9.6,19.2,186.8,109.9347, ,
1978,Tigers,1672,6299,129,714,666,90,8.90%,11.00%,0.12,0.288,0.271,0.339,0.392,0.332,103,4.2,27.8,-0.6,24.5,226.9,140.25464, ,
1940,Athletics,1753,5947,105,703,648,48,9.30%,11.00%,0.125,0.283,0.262,0.334,0.387,0.333,86,-7.5,-122.3,-13.7,7.6,77.2,142.12129, ,
1978,Angels,1706,6206,108,691,646,86,8.70%,11.00%,0.111,0.276,0.259,0.33,0.37,0.319,102,-8.5,4.3,-45.7,17.1,155.4,173.8679, ,
1975,Indians,1750,6059,153,688,643,106,8.70%,11.00%,0.131,0.272,0.261,0.327,0.392,0.329,104,-12.2,13.5,-29.5,19,176.7,114.25464, ,
1958,Braves,1849,5858,167,675,641,26,8.20%,11.00%,0.146,0.274,0.266,0.329,0.412,0.327,102,5.4,19.2,99.7,31.5,301.9,49.78804, ,
1915,TipTops,1679,5711,36,647,561,249,8.30%,11.00%,0.092,0.3,0.268,0.336,0.36,0.339,104,46.1,71.1,-4.6,24.8,215.1,155.6012, ,
1951,Cubs,1925,5862,103,614,572,63,8.10%,11.00%,0.114,0.269,0.25,0.315,0.364,0.316,80,4.6,-144.1,12.5,6.6,64.6,112.30788, ,
1979,Blue Jays,1669,6010,95,612,562,74,7.50%,11.00%,0.112,0.269,0.251,0.311,0.363,0.304,79,-6,-162.5,-6.6,2.9,28.8,112.88121, ,
1943,Browns,1707,5864,78,594,552,37,9.70%,11.00%,0.103,0.268,0.245,0.322,0.349,0.325,93,-10.6,-57.4,-11.6,13.2,112.2,130.90783, ,
1953,Dodgers,1891,6136,208,955,887,90,10.70%,11.10%,0.189,0.295,0.285,0.366,0.474,0.379,115,3.9,127.6,80.8,40.5,404.7,170.24158, ,
1956,Red Sox,1900,6207,139,779,749,28,11.70%,11.10%,0.144,0.292,0.275,0.362,0.419,0.35,99,2.1,-2.7,72.1,28.3,276.9,135.77473, ,
1973,Royals,1825,6274,114,755,703,105,10.30%,11.10%,0.12,0.279,0.261,0.339,0.381,0.328,101,-2.9,5.9,-75.4,15.1,137.4,209.56127, ,
1978,Yankees,1772,6217,125,735,693,98,8.10%,11.10%,0.122,0.283,0.267,0.33,0.389,0.325,104,4.2,34.8,28.2,27.8,260.1,168.97463, ,
1983,Indians,1734,6222,86,704,659,109,9.70%,11.10%,0.104,0.287,0.265,0.338,0.369,0.319,95,-7.3,-40.4,-71.9,9.7,89.9,189.44123, ,
1935,Phillies,1766,5944,92,685,624,52,6.60%,11.10%,0.108,0.293,0.269,0.322,0.378,0.323,74,8.6,-187.2,-39.8,-2.2,-20.2,147.28126, ,
1977,Indians,1728,6204,100,676,631,87,8.60%,11.10%,0.112,0.289,0.269,0.334,0.38,0.32,96,-13.1,-40.8,-27.8,14.3,139.1,133.1346, ,
1984,Brewers,1636,6057,96,641,598,52,7.10%,11.10%,0.107,0.282,0.262,0.317,0.37,0.309,93,-12.5,-64.2,-53.4,7.9,72.3,123.8679, ,
1915,Athletics,1647,5708,16,545,440,127,7.60%,11.10%,0.074,0.268,0.237,0.304,0.311,0.302,85,-10,-104.4,-47.7,4.9,35.4,179.69437, ,
1981,Royals,1089,3941,61,397,381,100,7.60%,10.60%,0.115,0.286,0.267,0.325,0.383,0.321,102,0.5,8.9,-8.5,13,117.7,-153.58539, ,
1980,Royals,1777,6357,115,806,766,185,8.00%,11.20%,0.128,0.306,0.286,0.345,0.413,0.339,107,19,70.4,6.7,30.1,285.9,178.21471, ,
1974,Yankees,1825,6182,101,671,637,53,8.30%,11.20%,0.106,0.281,0.263,0.324,0.368,0.317,101,-1.5,3,3.1,21.6,200.4,159.01456, ,
1973,Yankees,1666,6064,131,641,616,47,8.10%,11.20%,0.116,0.277,0.261,0.322,0.378,0.318,100,-4.6,-2,-6.9,20.4,191.1,103.28126, ,
1955,Senators,1989,5809,79,597,562,25,9.20%,11.20%,0.102,0.27,0.249,0.322,0.351,0.308,83,-3.1,-125.6,-51.2,2.9,26.4,128.76117, ,
1980,White Sox,1910,5999,91,587,547,68,6.70%,11.20%,0.111,0.278,0.259,0.311,0.37,0.306,86,-8.5,-108,-31.8,6.1,57.2,69.8679, ,
1915,Cubs,1703,5730,53,570,485,166,6.90%,11.20%,0.098,0.27,0.244,0.303,0.342,0.314,95,-14.6,-44.9,-3.2,16.7,143.7,124.92114, ,
1916,Braves,1724,5760,22,542,472,141,7.60%,11.20%,0.074,0.263,0.233,0.299,0.307,0.298,91,7.1,-45.6,49.5,20.7,177.5,186.98769, ,
1982,Brewers,1638,6337,216,891,843,84,7.60%,11.30%,0.176,0.285,0.279,0.335,0.455,0.348,120,-3.6,147.6,-4.5,35.9,340.8,155.13485, ,
1986,Red Sox,1722,6255,144,794,752,41,9.50%,11.30%,0.144,0.286,0.271,0.346,0.415,0.338,103,-5.9,20.2,-18.6,21.6,208.1,161.06805, ,
1953,Indians,1872,5996,160,766,727,33,10.10%,11.30%,0.14,0.285,0.27,0.349,0.41,0.348,108,0.1,61,35.8,29.9,299.3,145.9347, ,
1948,Dodgers,1963,6050,91,744,671,114,10.00%,11.30%,0.12,0.286,0.261,0.339,0.381,0.339,92,20.2,-40.3,49.1,20.7,206.6,198.56127, ,
1976,Twins,1763,6307,81,743,691,146,8.70%,11.30%,0.102,0.299,0.274,0.341,0.375,0.332,111,-0.4,70,-6.8,28.1,254,213.00125, ,
1980,Phillies,2182,6269,117,728,674,140,7.50%,11.30%,0.13,0.288,0.27,0.327,0.4,0.324,100,2.6,4.2,41.7,25.3,239.2,133.668, ,
1956,Phillies,1895,5905,121,668,616,45,9.90%,11.30%,0.128,0.268,0.253,0.329,0.381,0.318,93,3.2,-48.1,2.1,12.4,119.8,122.56127, ,
1941,Cubs,1785,5895,99,665,610,39,9.50%,11.30%,0.112,0.274,0.253,0.327,0.365,0.327,96,5.2,-19.7,7.2,16.7,162.8,160.73455, ,
1949,Phillies,1804,5933,122,662,622,27,8.90%,11.30%,0.133,0.272,0.254,0.325,0.388,0.334,92,4.3,-56.9,20.4,15.6,155.8,98.54796, ,
1957,Giants,2073,5880,157,643,612,64,7.60%,11.30%,0.141,0.262,0.253,0.311,0.393,0.313,89,1.8,-78,21.8,12.3,115.3,66.68131, ,
1958,White Sox,1969,5933,101,634,594,101,8.70%,11.30%,0.11,0.276,0.257,0.327,0.367,0.312,93,10.9,-38.4,64.2,21.8,208.4,124.58789, ,
1955,Pirates,1909,5790,91,560,532,22,8.10%,11.30%,0.117,0.262,0.244,0.308,0.361,0.3,76,-0.2,-173,-17.1,-2.8,-28.1,66.02787, ,
1916,Athletics,1617,5602,19,447,380,151,7.20%,11.30%,0.071,0.274,0.242,0.302,0.313,0.301,85,-3.6,-94.3,-43.4,4.1,24.2,76.54771, ,
1937,Tigers,1694,6264,150,935,873,89,10.50%,11.40%,0.16,0.314,0.292,0.37,0.452,0.377,104,-5.9,31.2,44.8,29.4,306.3,206.85484, ,
1979,Red Sox,1733,6184,194,841,805,60,8.30%,11.40%,0.173,0.292,0.283,0.344,0.456,0.353,108,-3.4,53.9,16.9,28.1,274.4,102.56152, ,
