Global EdTech Business Meet Up,Entrepreneurialism,Meet Up,,Michelle DuQuetteæ,"Hosted by EdTechXGlobal: Join us to learn about international EdTech business trends and meet our delegation of innovative 2016 European EdTech All Stars. EdTechXGlobal connects the worldwide EdTech community via thought leader summits in London and Singapore„attend this meet up to network with European EdTech innovators, hear about global investment trends and gain insight into how to grow your education business into Europe and beyond.",Global EdTech,Business of EdTech,International Growth
CUE Lesson Maker's Faire Meet Up,Instructional Strategies,Meet Up,,"Jon Corippo, Mike Lawrence, Jo-Ann Foxæ","Hosted by CUE: Where do you go for awesome lesson plans? Here's a new idea: classroom-tested lessons shared in no-holds-barred LESSON MAKER'S FAIRE! Join CUE Rock Star Teachers Jon Corippo (ADE, GCI & former Teacher of the Year) and Jo-Ann Fox (co-creator of #CAEDCHAT & also Teacher of the Year) for a fun idea-sharing meetup. We'll share 10 GREAT lesson plan ideas live and on the web. Expect time to meet and mingle too. Bring your own innovative lessons and get some awesome new lesson plans too!",,,
Design Thinking Educators Meet Up,Instructional Strategies,Meet Up,,"Martin Moran, Lisa Jasinskiæ","Higher Ed and K-12 educators: If you consider yourself a design thinker or are interested in connecting with other educators who use design thinking techniques in their work to drive change and improve the lives of students, join us for a lively, interactive meet up of design thinkers in EDU. Come share ideas, make connections and grow your professional learning network in this design thinking meet up. ",,,
"Helping Students Succeed in Middle Grades Meet Up	",Instructional Strategies,Meet Up,,Dru Tomlinæ,"Hosted by AMLE: Join us for this meet up with AMLE thatÍs all about middle level education!  Set your watches because itÍs time to talk about what makes the middle grades both challenging and rewarding, what characteristics create an effective middle school and how we can help every young adolescent succeed. Explore these topics with educators, leaders and other passionate practitioners in the field.  If you teach, serve and lead young adolescents in the middle grades, this is the meet-up for you! ",middle school,teaching,adolescents
Maker Education Meet Up,Instructional Strategies,Meet Up,,Kay Moffettæ,Hosted by littleBits: Join littleBits for a discussion on Maker Education following the keynote of littleBits Founder and CEO Ayah Bdeir. Connect with other Maker educators and demo littleBits electronic building blocks for the classroom. ,maker education,hands-on learning,STEAM
ELL Educator Meet Up,Leadership,Meet Up,,Randy Cavazosæ,Hosted by TALAS: Come socialize and network with other ELL educators and TALAS at SXSWedu 2016!,english language learner,TALAS,educator
Inspiration & Action: SXSWedu First Timers Meet Up,Leadership,Meet Up,Basic Understanding,"Liz Gossens, Eric Nentrupæ","SXSWedu is an incredible opportunity for attendees to make connections, stoke their passion and inspire innovation and action. It can be a whirlwind of sessions, meet ups, breakfast tacos and networking, but by making a plan and being open to shifting that plan, you can have an unforgettable week. SXSWedu is like sleep-away camp for adults, and can be a bit overwhelming for first-timers. This meet up will be led by two Advisory Board members, focused on how to maximize this experience!",first timers,rookie meet up,advisory board guidance
"Personalized, Competency-Based Education Meet Up",Leadership,Meet Up,,"Bruce Friend, Susan Patrickæ","Hosted by iNACOL: iNACOL is a nonprofit, membership organization working with leaders and educators in next generation, personalized learning models. Our mission: to catalyze the transformation of K-12 education policy and practice to advance powerful, personalized, learner-centered experiences through competency-based, blended and online learning. Please join us to learn about our work and how you can join our effort to ensure high quality blended and online learning opportunities are available to students.",online,blended learning,personalized
SXSWedu 2017 PanelPicker Meet Up,Leadership,Meet Up,,TBDæ,"As SXSWedu comes to an end, we are already prepping for 2017! Want to speak on the program? Stop by for PanelPicker information and tips.",PanelPicker,2017,Idea sharing
"Women in EdTech Meet Up	",Leadership,Meet Up,,"Margaret Roth, Sehreen Noor Aliæ","EdTechWomen is community of women and their supporters that work to develop women's leadership capacity in EdTech through the values of inclusivity, visibility and impact. This meetup will feature ETW's signature facilitated networking event, a program that has led to friendships, career moves, business partnerships and other lasting connections. This event will also feature a special announcement regarding ETW Chapters.",EdTechWomen,,
Library and Museum Professionals Meet Up,Learning Spaces,Meet Up,,"Sarah Morris, Emily Weertsæ","If you are a library or museum professional, or if you would like to meet with the great people who work in libraries and museums, then join us for an interactive gathering. We are meeting to share ideas, forge connections and consider possibilities for collaborations. Come with ideas related to trends and issues in libraries and museums that you would like to explore at breakout, unconference-style discussions, and be ready to network and connect with library and museum professionals. ",libraries,museum,meet up
"Reimagine Professional Learning Meet Up	",Learning Spaces,Meet Up,,"Molly McMahon, Donna Teuberæ","Join other teachers, just like you, who are designing solutions to solve the biggest challenges in education today. We will reimagine professional learning so that we can continue to grow, feel inspired and have the greatest impact on our students. Our interactive meetup will give you a chance to engage in creative thinking, prototype solutions and make great connections with educators and Teachers Guild coaches.",design thinking,teachers guild,professional learning
Arts Education: Nothing Elective About It,Arts,Panel,Basic Understanding,"Jessica Handrik, Dr Brent Hasty, Lakita Edwards, Jennifer Luckæ","Arts Education is changing the face of our classrooms and transforming student learning. The charge is being led by some of the most prestigious arts organizations in the country and their work is being supported by the NEA and scholars alike. There is a firm belief (and the data concurs) that instruction through and in the arts is essential for the development of the whole child, for every child. They provide unique experiences that combine the physical, mental, social and emotional aspects of human existence. Participation in the arts maximizes critical thinking skills and creativity and prepares students to be successful, contributing members of society. ",arts-based instruction,arts education,CPE Credit
How Music Powers STEAM Education and the Brain,Arts,Panel,Basic Understanding,"Gabriella Musacchia, Alesha Bishop, Alex Khalil, Chiho Okuizumi Feindleræ","Music is a powerful, multifaceted educational tool that changes the way children think and interact. A recent federal bill including music as a part of well rounded education has parents, educators and activists more focused than ever. How can we promote music education access for every child? Panelists from academia, educational technology and music education activism will detail key Science Technology Engineering ARTS and Math (STEAM) concepts, including the neuroplasticity of music education, learning tools for DIY music integration, music making demonstrations and a toolkit of resources for community action. Bring your music maker questions!",music education,neuroplasticity,CPE Credit
The Tide is Turning for Music Education,Arts,Panel,Basic Understanding,"David Wish, Bob Morrison, Elaine Thomas, Alex Ruthmannæ","While the benefits of music education are better understood than ever, budget cuts are decimating music programs in US public schools. However, reduced funding is not the only obstacle that impedes studentsÍ access to music education. The time has come to not only preserve, but to expand music education in schools. A new instrumental music program that focuses on teaching popular musical on instruments, vocals and computers has emerged. ñModern Bandî is currently available to 2.2 Million students in school districts nationwide and the funding has come privately through a nonprofit called Little Kids Rock. Universities are adapting as well, in major ways!",music education,higher education,CPE Credit
Breaking the Standardized Test Addiction,Assessment,Panel,Basic Understanding,"Anya Kamenetz, David Kuntz, Seth Corrigan, Kim Dayæ","Anya Kamenetz (NPR) will lead a discussion about our standardized test obsession and then explore ways to break this addiction. Alternatives for schools to explore include: 1) Performance-based assessments and project-based learning, not tied to specific data points 2) The use of data and analytics to drive self-assessment and daily assessment and feedback 3) Assessment of social-emotional skills, human nature, self-report mechanisms and student well-being as measurable outcomes 4) game-based assessment that can help to eliminate tests.",assessment,standardized tests,CPE Credit
The Future of Educational Assessment,Assessment,Panel,Basic Understanding,"Eva Baker, Jim Pellegrino, Randy Bennett, Frank Davisæ","Since No Child Left Behind, assessment in K-12 education has been defined largely by mandated accountability testing. For efficiency, those tests have been largely multiple-choice ones given in paper-and-pencil format. Advances in technology, measurement and the learning sciences, however, offer exciting possibilities for radically changing the design, content, format and even the purposes of assessment, reorienting it from its current institutional focus toward the personalization of instruction. This panel will give perspectives on how assessment is (and isn't) likely to change so that it continues to serve institutional goals while also more effectively serving teaching and learning. ",assessment,instruction,
Throwing Out Grades for Better Student Learning,Assessment,Panel,Basic Understanding,"Mark  Barnes, Starr Sackstein, Peter Bencivengaæ","Become engaged in the on-going discussion of best assessment practices for student learning. During our time together we will challenge the role of traditional grading systems and why they don't lend themselves to student success. Let's take the focus off the numbers and letters and place it where it belongs, on student metacognitive awareness and reflection on growth of skills and content knowledge.",assessment,feedback,CPE Credit
Underprepared Students on the Pathway to Success,Assessment,Panel,Field Experience,"Charles Cook, Jenna Cullinane, Evelyn Waiwaioleæ","In 2010, President Obama set two national educational goals: By 2020, America will once again have the highest proportion of college graduates in the world, and community colleges will graduate an additional five million students.  Since then, community colleges have been under increased pressure to improve student performance, retention and, most importantly, completion „ all while 2/3 of students entering their doors are not prepared for college-level work. A ""one size fits all"" approach for these students will not help reach the goal of five million more graduates.  Join leaders from the field as they discuss ways of changing the fundamental conversation surrounding this vital challenge.",higher education,community college,CPE Credit
Teaching Code is Not About Creating Programmers,Cognitive Process,Panel,Basic Understanding,"Grant Hosford, Dan Leyzberg, Colleen Lewis, Jonathan Schoræ","Global movements like Hour of Code have brought computer science into the mainstream. But those who work in the field firmly believe that the goal should not be to create millions of programmers. Rather, the entrepreneurs, teachers and academics behind the movement believe all students should learn how to leverage their own abilities through technology. Their research shows there are broad based benefits for all kids when they master concepts like sequencing and algorithmic thinking. This panel will look at how parents, teachers and professors can use the study of computer science to help students improve their problem solving abilities and gain confidence in themselves as digital creators. ",coding,k-3,CPE Credit
The Myth of the Learning Style Holds Students Back,Cognitive Process,Panel,Basic Understanding,"Ulrik Christensen, James Stigleræ","Many education experts argue that there are as many as 19 different learning styles. While this seems large, from a cognitive perspective it does not even begin to scratch the surface on the millions of ways students can solve one problem. In fact, very few studies have found evidence for learning styles and the idea that students fit neatly in a certain style, such as auditory or visual learners. Despite this, a recent international survey of teachers in the UK, China and other countries found that 96 percent of respondents believed in the notion of preferred learning styles. ",learning science,learning styles,CPE Credit
The Science of Learning II,Cognitive Process,Panel,Basic Understanding,"Susan Winslow, Mariette DiChristina, Rob Lue, Tyler  Cowenæ","Are we just training drones? Or are our teaching methods positively connecting students to learning, leadership and our future workforce? Hybrid or ñblended"" learning has emerged as a teaching method that increases student outcomes while lowering attrition rates. Combining traditional face-to-face instruction with online learning, however, is not just a skills competency, but an approach that connects to education, leadership and creativity. This evolving vision of STEM and liberal arts education needs to create a system that allows progress to more effective learning and leadership. Speakers will discuss current data, solutions and the far-reaching impact of hybrid learning.",big data,cognitive,CPE Credit
Are They Learning? Competency-Based Student Voices,Continuing Education,Panel,Basic Understanding,"Bernard Bull, Connor Gorske, Briana Corona, Anthony Thorneæ","This panel will offer attendees the chance to hear from students enrolled in three different competency-based universities (College for America, Western Governors, and Patten University). Each student has previous experience in another higher education institution, and they will speak to the differences between their platforms, whatÍs proven difficult and why they picked competency-based education compared to other options. If youÍre thinking about sending students to a competency-based university or adding a program to your university, come hear students enrolled in three different programs discuss the advantages, challenges and habits that have proven effective in their studies.",higher education,competency-based education,college persistence
Better Partnerships Create a Competitive Workforce,Continuing Education,Panel,Basic Understanding,Kelly Bozarthæ,"Hosted by Strayer@Work: Free college degrees.  Apprenticeships.  Work-integrated learning.  The growing skills gap has forced academia and business into a state of disruption, where new models for growing an educated and skilled workforce are announced nearly every day.  This session will bring together the minds behind many of these new models to examine what is and isnÍt working, provide how-to guidelines for building effective corporate-academic partnerships and share insights on what the next generation of skills-based learning will look like.",workforce,corporate-academic partnerships,apprenticeships
Creating Viral-Worthy Creative Classroom Content,Continuing Education,Panel,Basic Understanding,"Andrea Backman, Amani Martinæ","Hosted by Strayer University: If you think about your favorite movie, there are likely a number of elements that stand out„characters, scenes, storylines, emotions or quotes. Drawing from the best minds in creative storytelling and ñstickinessî principles, this session will teach you the art and science behind creating viral-worthy classroom content that is memorable, meaningful and that enables and enhances learning. No matter the subject or budget, you will come away with tools and guidelines for prioritizing and developing compelling course material that draws in students with ever-shortening attention spans and cuts through the clutter of a hyper-media, hyper-technological world.		",creative content,video production,storytelling
CS10K: Scaling Computer Science Teacher Training,Continuing Education,Panel,Basic Understanding,"Calvin Lin, Carol Fletcher, Kimberly Hughes, Michael Marderæ","With a growing number of initiatives intended to bring computer science (CS) courses to high school classrooms nationwide, administrators are scrambling to train large numbers of teachers to meet local demands. This session brings together panelists with a diversity of perspectives on how best to meet NSFÍs call to train 10,000 CS teachers nationwide. Panelists include a physics professor who co-directs a pre-service STEM teacher preparation program, a CS professor who led a team to develop one of the new CS Principles courses endorsed by NSF and College Board and two organizational directors, one focused on in-service STEM teacher PD and one focused on scaling CS education and training.",computer science,teacher education ,professional development
Cultivating Teacher Readiness in Next Gen Learning,Continuing Education,Panel,Field Experience,"Arthur Levine, Liz Willen, Sanjay Sarma, Jessie Woolley-Wilsonæ","What is thwarting the successful adoption and scaling of digital learning? Discover why MITÍs Office of Digital Learning and the Woodrow Wilson FoundationÍs Academy of Teaching and Learning have joined forces to reimagine and cultivate teacher readiness to advance STEM and support next gen learning. Educators need and deserve new approaches to continuous development and renewal, performance assessment and retention. ItÍs important to understand why the key to transformation in a rapidly evolving digital learning landscape is teacher engagement and teacher readiness.",teacher training,professional development,CPE Credit
Diplomas Optional: Jobs of the New Century,Continuing Education,Panel,Basic Understanding,"Alison Dorsey, Maria Harper-Marinick, Wan-Lae  Cheng, Marc Baileyæ","Technology is profoundly altering the American labor market. Jobseekers struggle to connect their skills and experience with meaningful employment, while more than half the nationÍs employers have difficulty finding skilled workers for available jobs. In this session we will discuss how the Rework America Connected partnership is creating a new and innovative skills-based marketplace to help many more Americans connect to good jobs, new career paths and training resources. Discover your place in tomorrowÍs dynamic digital job market!",future of work,skills training,jobs
Graduating to Digital-First Branding in Higher Ed,Continuing Education,Panel,Field Experience,"Gene Lewis, Cathy Canney, Alexandra Day, Carol Keeseæ","Digital marketing strategies framed by modern, responsive and content-rich websites are becoming high-priority tools for schools to impact the decision-making of prospective students and supporters. Higher ed institutions face their own unique challenges. The importance of conveying a schoolÍs essence, relevance in the world, and the future it can offer students is elemental. Hear from experts in marketing and communications from leading institutions discuss their greatest challenges and debate digital marketing strategies, including: digital-first branding, PSRM (Prospective Student Relationship Management), authenticity in experience content and user experience vs. immersion.",branding,psrm,experience content
MOOCs & Teacher PD: Mindless Snack or Hearty Fare?,Continuing Education,Panel,Basic Understanding,"Glenn Kleiman, Julia Stiglitz, Nina Huntemann, Charlie Chungæ","In our rapidly changing times, K-12 teachers are more in need of quality professional development resources than ever before. We know that a significant proportion of MOOC-takers are teachers, however, we know little else. How many are taking MOOCs for PD? Are they refreshing their knowledge, looking for materials to use in their classroom, observing teaching techniques, interacting with others? Is completion and/or certification an important goal, and are they receiving CEUs? The panelists will bring their insights and perspectives on these topics„you bring the questions. The overall goal is to foster discussion on how MOOCs can be better utilized to serve educator PD needs.",professional development,moocs,teacher training
Students Unfiltered: Digital in the Classroom,Continuing Education,Panel,Basic Understanding,"Matt Bilotti, JoAnna Zalkovsky, Zak Malamed, Elana  Golubæ","There is a multitude of digital tools available to students aimed at increasing engagement and improving student outcomes. But are students using these tools, and to what extent? Forget the BS, drop the sales pitch and join an interactive conversation that brings students - the most important part of the equation - to the spotlight. This session will seek to understand how technology's increasingly important role in the classroom impacts students. By asking critical questions, the conversation will help uncover what students want and don't want from digital and how to best integrate digital tools into the curriculum, ultimately resulting in higher engagement and better student outcomes.",edtech ecosystems,digital learning,CPE Credit
Traditional vs. Competency-Based Learning Models,Continuing Education,Panel,Basic Understanding,"Jason Lange, Paige Hoffman, Karen Catoræ","In todayÍs world, it's important for teachers to adopt a lifelong learning mindset to continually expand their knowledge and improve student engagement. Continuous learning can come in many forms, and with or without the guidance of your principal or district. In this panel, weÍll explore traditional learning models and competency-based models of professional development. Is one better than the other, or should there be a balance? Can a shift be made? What are the implications? Join us for a lively discussion.",professional development,competency-based education,CPE Credit
A Data-Driven Culture: Who's Behind the Wheel?,Data Analytics,Panel,Field Experience,"Sharnell Jackson, Gregory Firn, Patricia Greco, Brendan Desettiæ","Changing teaching methods and protocol is not easy. Making sense of the plethora of data is not either. It is critical to help teachers easily understand how to make sense of data usage and how to apply it to the classroom.  Recent reports show the need to shift the focus from data for informing, to the creation of a culture where data is embraced, effectively used and for continued results in improved practices, programs and student achievement. During this panel, learn how to drive with data, creating the culture needed to impact change in educators and students. ",data-driven decision making,technology innovation,CPE Credit
Civitas Learning Partner Talk Show,Data Analytics,Panel,Basic Understanding,"Mark Milliron, Gerald Napoles, Angela Baldasare, Joe Schaeferæ","Hosted by Civitas Learning: Take a look inside the work leading institutions are doing in creating effective analytics infrastructures. In our earlier Partner Talk Shows, leading institutions shared beginning insights and plans for integrating analytics. Hear directly from some star leaders in the Civitas and see how they have used the Student Insights Platform,» along with their own ingenuity and integrated analytics, to build infrastructures that turn the DIAL, optimizing DATA, maximizing INSIGHT, informing ACTION and improving LEARNING. Learn how this work improves decision support for students, faculty and staff across the institution.		",Higher Education,Learning Analytics,Civitas Learning Summit
Foundations of Change: Analytics in Grant Projects,Data Analytics,Panel,Basic Understanding,"Mark Milliron, Wynn Rosser, Scott Jenkins, Bill Mosesæ","Hosted by Civitas Learning: National and regional foundations have funded significant student success innovation, practice and policy. Increasingly, however, there is a realization that these initiatives need to be both grounded in and powered by sophisticated data strategies. Come hear leading foundation executives explore the promise, possibility and necessity for analytics in grant projects on the road ahead.",Higher Education,Learning Analytics,Civitas Learning Summit
From Analytics to Action,Data Analytics,Panel,Basic Understanding,"Mike Sharkey, Phillip Long, David Lindrum, Laura Malcolmæ","In spite of wide-spread interest in learning analytics, many educators are still uncertain about what data are available to them, whether these data are relevant to their specific contexts and how to put available data to work in the classroom in a way that is aligned with their values as teachers.  This panel brings together thought leaders with experience in business, research, administration, teaching and instructional design to discuss complexities involved in the use of learning analytics, explore the challenges associated with rethinking student success in the 21st century and share some of the innovative ways they are using data to improve the lives of students today.",learning analytics,instructional design,CPE Credit
The Accidental Consequences of Data Privacy Laws,Data Analytics,Panel,Basic Understanding,"Amelia Vance, Donna Johnson, Elana Zeideæ","Since 2013, more than 30 states have passed new student data privacy laws. While many of these laws are good, several have had accidental consequences: preventing students from applying for scholarships, stopping vital education research and even keeping kindergarten and first grade teachers from talking to each other. This panel will present an overview of new state laws and policies, discuss some of the accidental consequences that have occurred and teach the audience how they can ensure their state either avoids those consequences - or how they can fix them. ",data privacy,state policy,CPE Credit
We Have Data„Now What? Insights to Interventions,Data Analytics,Panel,Basic Understanding,Joe Schaeferæ,"Hosted by Strayer University: What if a simple intervention, a perfectly timed email from a professor or a course schedule adjustment, could help a student persist and ultimately earn their college degree? An increasing number of higher education institutions are gathering mounds of data on student engagement, faculty and teaching processes and operational systems. This data is critical for dissecting breakdown moments and the appropriate layers of analysis and activity can drive meaningful changes. Hear from practitioners in higher education who have tested interventions leading to successful student outcomes and hear insights from leading experts in data-based behavior change from fields outside of higher education.",intervention,data insights,data analysis
"What Do We Mean When We Ask if EdTech ""Worksî?",Data Analytics,Panel,Basic Understanding,"Betsy Corcoran, Chris Liang-Vergara, Kristen Swanson, Steven Hodasæ","Everyone agrees: LetÍs use tools that ñworkî in our K-12 school. But then the complexity of the task sinks in:  What do we mean by ñworkî? What measures should we„or even could we„use? This is hardly a theoretical exercise. The people on this panel are involved in constructing ñpilot programsî and measuring ñresultsî for EdTech implementations in schools throughout the US. This conversation will thoughtfully consider some tough questions. Among them: What do we really know about how to measure the effectiveness of EdTech tools? What are the ""results"" that weÍre trying to measure? How are the current pilots proceeding? What seems to be making a difference for a spectrum of learners?  ",pilot,efficacy,measurement
What Higher Ed Can Learn from Uber and Airbnb,Data Analytics,Panel,Basic Understanding,"Ryan  Craig, Adam Markowitz, Caroline Howard, Felix W Ortiz IIIæ","Online learning, MOOCs, software-as-service„they have all promised to disrupt the university as we know it, yet after millions spent, all have fallen short. At the same time, other entrenched sectors, are quickly being re-imagined. Uber owns no vehicles and Airbnb is not in the business of putting sheets on hotel beds, yet the two have disrupted their industries. So what can higher ed learn from these models? Come find out why the magic is not a faster taxi or a cooler hotel room, but rather a collaborative marketplace that matches the haves of providers [think universities] with the needs of the customers [think labor markets].",cbe,big data,higher education
Creating the WorldÍs First Early Childhood Fab Lab,Early Learning,Panel,Basic Understanding,"Elizabeth Rood, Paul Reynolds, Janice Morrisonæ","Fab Labs are maker spaces that use digital design and fabrication (e.g. laser cutters and 3D printers) to build STEM skills and creativity. In winter 2016, The Bay Area Discovery Museum, in partnership with TIES and FableVision, will launch the worldÍs first Fab Lab for young learners (ages 3-10) to help them navigate the design process from concept to production, and turn their ideas into reality. This session addresses the design principles of these spaces, lessons learned from this first prototype and curricula suggestions aligned to NGSS and CCSS. Panelists will reflect on their experience in bringing such EdTech maker spaces to our youngest learners in developmentally appropriate ways.",fablab,edtech,CPE Credit
Extreme Learners and Transforming Education,Early Learning,Panel,Basic Understanding,"Marc Roth, Nikhil  Goyal, Marina Gorbis, Milton Chenæ","Extreme learners are trailblazers of the new learning landscape. For them, it is not about an exam score or degree„the process is the product. Extreme learners are powered by technology. They design their own curricula from online courses, get their hands dirty at community laboratories and hacker spaces and seek out mentors. They help others learn, participating in an active learning exchange. They are teachers as much as they are learners. Extreme learners harness a fast-expanding world of knowledge that is increasingly at their fingertips. They know that learning now can be done anywhere at anytime. They have learned how to learn.",self-directed learning,project based learning,CPE Credit
From Research to Recess „ Early Learning in Practice,Early Learning,Panel,Basic Understanding,"Kathleen Plocinik, Kelly Fisher, Susan Magsamenæ","A surge of multi-disciplinary research, from neuroscience to psychology to cognitive science, has demonstrated the increasingly vital importance of early education for healthy development and long-term success. But how do we translate research into practice across the myriad settings in which young children learn„from the classroom to daycare to the home? How can evidence-based research help bridge the gap between formal and informal learning environments? What role should technology play? How do we ensure that all children have access to quality educational experiences? In this panel, experts in the science of early learning, practice and advocacy come together to discuss. ",early learning,informal learning ,CPE Credit
Inspiring Little Learners to Become Big Thinkers,Early Learning,Panel,Basic Understanding,"Jennifer Jipson, Helen Hadani, Craig Bach, Jean McKenzieæ","ItÍs no secret that the world is rapidly changing, and so are the skills needed to succeed. These 21st Century skills can be taught to young children _ even preschoolers _ yet the education method and mindset needs to evolve as much as the tools. Gone are the days of only ABCÍs and 123Ís. Hands-on discovery and experience are the keys to future success. How can we keep the spark for learning alive beyond preschool? A panel of education and early childhood development experts will share their perspective from research and practice on innovative and playful ways to inspire 21st Century learning, discussing how to build on childrenÍs innate curiosity and critical thinking.",21st century education,preschool learning,CPE Credit
Invisible Assessment: What K-12 Can Learn from ECE,Early Learning,Panel,Field Experience,"Kai-le_ Berke, Lillian Mongeau, Vincent Constanza, Laura Bornfreundæ","If you ask most teachers and parents about assessment, you are going to get an earful of the negative aspects„student stress, tests taking away from instructional time, etc. The purpose of assessments, however, is to provide insight on student performance„it doesnÍt require a kid filling out bubble sheets. But what if assessment was nearly invisible? Teachers in early childhood are already doing real-time, ongoing formative assessments focused on child development along a learning progression. This type of ïwhole childÍ assessment powered by technology, centers on project-based, hands-on teaching and learning. Learn how invisible assessment enables teachers to gain valuable insights. ",early learning,assessment,CPE Credit
Activating Student Voices,Educational Equality,Panel,Basic Understanding,"Frank LoMonte, Nabiha Syed, Piotr Bobkowski, Tara Subramaniamæ","Schools and colleges talk a good game on civic engagement, but when students actually engage to make change on their campuses, they are often met with threats and reprisals. Teen girls disproportionately absorb the brunt of this abuse, because they are disproportionately likely to engage on sensitive social issues that make schools nervous. ""Active Voice"" is a newly created campaign to unlock the power of student input into school decisionmaking by building a virtual mentorship community to help young women develop their full leadership potential. This panel will review new research about the adversity girls face, and propose solutions to make the school experience more empowering.",student voice,student rights,CPE Credit
Bridging the College and Career Prep Divide,Educational Equality,Panel,Basic Understanding,"Jennifer Mandel, Edward Biedermann, Richard Montgomery, Anne Jonesæ","College readiness and career preparation are often two very different tracks that funnel students towards one path or another. Why should students have to choose? The end game of every academic program should be a rewarding career. And, with almost two-thirds of all jobs, and 92 percent of traditional STEM jobs, requiring some post-secondary education and training, educators must bridge the gap between college prep and skilled career preparation. Doing so requires a shift in school culture and participation at the district, community and industry level. In this session, speakers and attendees will discuss strategies that work to bring college and career preparation together-for all students.",college and career readiness ,career development,college readiness
Digital Diversity: Minorities Excelling in Tech,Educational Equality,Panel,Basic Understanding,"Cori Coburn-Shiflett, Shaina Glass, Abran Maldonado, Shelly Sanchez Terrellæ","Research shows minorities are underrepresented in the field of technology. Females and minorities who do make it soon leave the field. Through teacher leadership, knowledge, access and training we can support more minorities to enrich the field. Inclusion and diversity leads to a broader perspective in solving problems with technology. This session is an open and honest discussion with four minority leaders in different educational technology leadership positions who share their movements, resources, and pose honest questions to the audience for a discussion of possible solutions. Collectively, we will share resources through the live session and backchannel.",edtech,diversity and inclusion,stem
EdTechÍs Blind Spot: Closing the ELL Equity Gap,Educational Equality,Panel,Field Experience,"Jeff Knutson, Katie McKay, Beverly Fine, Evelyn Quezadaæ","Teachers and students can find EdTech tools for nearly every subject, grade level and skill. However, very few EdTech tools specifically address the complex needs of English Language Learners (ELLs) and their teachers. ELLs are a growing yet underserved segment of the U.S. student population and teaching these diverse learners presents unique and highly complex challenges. This panel brings together educators and industry experts to explore how digital tools can best serve ELLs. We will look at how teachers can use and repurpose existing tech tools, as well as how the EdTech industry can innovate to provide new solutions and possibly even revolutionize how we teach language acquisition.",edtech,language learning,CPE Credit
From College to Jobs: MOOCs and Credentialing,Educational Equality,Panel,Basic Understanding,"Anant  Agarwal, Jim McKelvey, Gabriel Kahn, Adrian Sannier æ",Massive Open Online Courses (MOOCs) continue to gain traction around the world with millions of learners using free or low cost courses to earn new forms of credentials in higher education and in the job market. This session will focus on the future of education and how learners are using online courses to earn both traditional college credits and new forms of credentials.,credentials,moocs,skills
From South LA to the Ivy League,Educational Equality,Panel,Basic Understanding,"Alvaro Quintero, Joel Snyder, Jose Rodriguez, Ellie Hermanæ","Our panel will consist of two college freshmen and their high school advisor.  These two students, from South Los Angeles, are both first-generation college students„one at Harvard and one at Yale.  Their stories are similar and different, completely unique yet indicative and telling of the broader challenges at hand.  These students, along with a teacher or advisor who helped them reach these schools, will reflect on the challenges throughout the process of applying to college, transitioning to college and finding support in their first year of college, as they approach the end of the first year in the Ivy League.",college,latino,CPE Credit
Getting Real About Challenges with Student Success,Educational Equality,Panel,Basic Understanding,"Ahrash Bissell, Jan Case, Ryan Schrenk , Stephanie Linæ","Hosted by the Bill and Melinda Gates Foundation: Join a freewheeling discussion of the realities involved in expanding access to education, removing barriers and increasing the odds of success on the ground for students every day.  Moderator Ahrash Bissell, a key member of the community-focused NROC Project since 2010, is also the co-creator of EdReady, a platform for personalized learning with a starting focus on developmental math. Discover what Bissell and his colleagues have learned about the challenges associated with innovation, and the evidence that is encouraging them and others to engage in more community-based approaches to driving student success.",personalized learning,student success,equity
Giving Hope: Overcoming Odds with Blended Learning,Educational Equality,Panel,Basic Understanding,"Robert Rayburn, Gayle White Wallace, Kimberly Moritz, Crystal Hillæ","We have a moral imperative to raise the bar for all kids to help them become college and career ready, but it is important we do so by making instruction reachable through solid and robust personalized resources that focus on the area(s) each student needs to improve on. An expert panel will share their perspectives on effective tools and strategies aimed at personalizing learning regardless of grade level, while increasing equity for English language learners and other disadvantaged students.   ",blended learning,personalized learning,CPE Credit
Leveling the Maker Playing Field: A National Plan,Educational Equality,Panel,Basic Understanding,"Kathy Ishizuka, Tim  Carrigan, Teresa DeFlitch, Kristin Fontichiaroæ","A new model for integrating making into schools promises to expand opportunities for hands-on learning on a national scale. Join Tim Carrigan of the Institute of Museum and Library Services (IMLS) and partner organizations, who will share insights about the framework to inform maker activities for learning„large and small. Attendees will gain perspective on making as an equity issue, how to build community through crowdfunding and how to forge partnerships with local institutions, including public and school libraries. Also on hand will be the Children's Museum of Pittsburgh, which is helping bring a maker program to 10 diverse schools and helping train master maker teachers.",makers,libraries,diversity
Making OER Work: Peer Learning in Public Libraries,Educational Equality,Panel,Basic Understanding,"Mark Andersen, Andrea Saenz, Grif Petersonæ",The full potential of online learning has not been realized; MOOC completion rates remain under 5% and many find solo online study too challenging. Chicago Public Library & Peer-2-Peer University have prototyped ïLearning CirclesÍ to address this peer-learning study groups for online courses in the local library. We have created online and offline infrastructure to provide a real-world wrapper around online learning. Results have been positive; a wider roll-out is underway and an open-source resource kit is in development to allow fast and cheap scaling. This panel will discuss results to date and the potential for leveraging public spaces like libraries to turbocharge online learning.,libraries,moocs,mindset
